playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
87,185.0,114.0,22.514954954954952,8.2,2.0,3.6,54.8%,1.2,3.2,37%,0.7,0.9,71.6%,1.2,3.8,5.1,1.0,0.7,0.9,0.2,0.1,1.8,1.4,9.7,001833,"MOERMAN, ADRIEN",34,https://media-cdn.incrowdsports.com/f3077405-e32f-4acd-8a10-fdea2de62cee.png,DAR;BAR;IST;MCO,DDI;FCB;EFS;ASM,Darussafaka Basketbol;FC Barcelona;Anadolu Efes Istanbul;AS Monaco,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png;https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
88,209.0,189.0,23.214912280701757,7.2,1.7,3.3,52.3%,1.0,2.7,35%,0.9,1.1,84.3%,0.6,2.3,2.9,4.3,1.2,1.7,0.1,0.2,2.5,2.0,9.8,008855,"WALKUP, THOMAS",32,https://media-cdn.cortextech.io/5a798730-2697-4550-b3b3-df119a860b18.png,ZAL;OLY,ZAL;OLY,Zalgiris Kaunas;Olympiacos Piraeus,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
89,139.0,102.0,23.405635491606713,8.6,1.8,4.0,44.1%,1.3,3.8,34.8%,1.1,1.4,73.6%,0.3,2.0,2.3,4.3,0.7,1.8,0.0,0.3,1.7,2.9,10.0,003024,"GRANGER, JAYSON",32,https://media-cdn.incrowdsports.com/bfa1e332-4bf3-4410-a53c-8f91f276fc3e.png,IST;BER;BAS,EFS;BER;KBA,Anadolu Efes Istanbul;ALBA Berlin;Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png;https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png
90,164.0,100.0,18.291971544715448,7.6,2.3,4.2,54.4%,0.3,1.0,32.3%,2.0,2.3,85.7%,1.0,3.4,4.4,1.1,0.5,1.1,0.2,0.2,2.3,2.8,10.0,BWI,"JANKUNAS, PAULIUS",37,https://media-cdn.incrowdsports.com/77ba65dc-10e2-4a22-be86-6bb4bd407d08.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
91,167.0,104.0,21.92175648702595,8.6,2.6,4.3,59.9%,0.5,1.5,36.7%,1.8,2.2,80.6%,0.9,2.7,3.6,1.3,0.5,1.1,0.1,0.3,1.6,2.1,10.1,009005,"DECK, GABRIEL",29,https://media-cdn.cortextech.io/85e6487b-9481-4012-87d5-807d4ae81b30.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
92,206.0,109.0,19.48131067961165,7.3,3.0,4.7,64.4%,0.2,0.5,42.7%,0.6,0.9,71.3%,1.5,3.2,4.7,0.6,0.4,0.9,1.2,0.1,1.8,1.0,10.3,005844,"PAPAGIANNIS, GEORGIOS",27,https://media-cdn.cortextech.io/7410bb12-8f97-491b-96e4-264f048acc27.png,PAN;ULK;MCO,PAO;FBB;ASM,Panathinaikos AKTOR Athens;Fenerbahce Beko Istanbul;AS Monaco,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
93,166.0,79.0,23.385140562248996,10.3,2.1,3.9,54.7%,1.4,3.3,44.1%,1.7,1.9,88.5%,0.6,2.1,2.6,2.0,0.5,1.3,0.2,0.2,1.7,1.8,10.4,007400,"NUNNALLY, JAMES",33,https://media-cdn.incrowdsports.com/e0743b50-f31d-4f3a-95a9-2c96603f4c5e.png,MIL;ULK;TEL;PAR,AXM;FNB;MTA;PAR,EA7 Emporio Armani Milan;Fenerbahce Beko Istanbul;Maccabi Rapyd Tel Aviv;Partizan Mozzart Bet Belgrade,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
94,200.0,56.0,19.562083333333334,8.1,3.3,5.6,59%,0.1,0.4,35.6%,1.2,1.8,67.7%,2.2,2.9,5.1,0.9,0.7,1.0,0.4,0.3,2.2,1.8,10.5,005160,"HUNTER, OTHELLO",36,https://media-cdn.incrowdsports.com/8768431f-f09d-41f8-8ce3-7a2744883c98.png,OLY;MAD;CSK;TEL;MUN,OLY;RMB;CSK;MTA;BAY,Olympiacos Piraeus;Real Madrid;CSKA Moscow;Maccabi Rapyd Tel Aviv;FC Bayern Munich,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
95,267.0,152.0,21.22034956304619,7.7,1.9,3.0,61.8%,1.0,2.7,37.4%,0.9,1.2,71.7%,1.3,3.8,5.0,1.9,0.5,1.1,0.3,0.1,1.6,1.3,10.5,007201,"VOIGTMANN, JOHANNES",32,https://media-cdn.cortextech.io/f25b3c46-64c0-4108-8168-c0ac3aa4a6bb.png,BAS;CSK;MIL;MUN,KBA;CSK;EA7;BAY,Baskonia Vitoria-Gasteiz;CSKA Moscow;EA7 Emporio Armani Milan;FC Bayern Munich,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
96,265.0,160.0,21.527735849056604,7.4,2.9,4.5,63.8%,0.0,0.1,23.5%,1.5,2.4,65%,1.8,2.5,4.3,1.0,0.7,0.8,0.9,0.2,2.6,2.4,10.7,003048,"DUNSTON, BRYANT",38,https://media-cdn.cortextech.io/e3c4915b-e70f-4813-9bdb-43bbbc606e33.png,IST;VIR;ZAL,EFS;VIR;ZAL,Anadolu Efes Istanbul;Virtus Bologna;Zalgiris Kaunas,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png;https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
