playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,season_year,season_code
38,21.0,14.0,16.219047619047622,5.2,1.5,3.7,41.6%,0.6,1.4,41.4%,0.4,0.4,100%,0.5,1.0,1.6,2.8,0.8,1.8,0.1,0.3,2.1,0.8,4.1,009578,"HALL, LANGSTON",29,https://media-cdn.incrowdsports.com/abb95d9d-9064-4db9-b2f1-61536348bdb7.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2020,E2020
39,30.0,9.0,16.256666666666668,4.6,0.9,1.8,48.1%,0.9,2.1,40.6%,0.3,0.3,88.9%,0.1,1.2,1.4,1.3,0.5,0.4,0.1,0.1,1.6,0.6,4.1,004974,"ROLL, MICHAEL",33,https://media-cdn.incrowdsports.com/7e3397bb-278e-4537-9992-cd78ebff142b.png,MIL,AXM,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2020,E2020
40,23.0,3.0,10.44855072463768,3.8,0.4,0.7,52.9%,0.8,2.1,37.5%,0.7,0.7,93.8%,0.3,0.7,1.0,1.0,0.6,0.4,0.1,0.1,1.3,1.3,4.3,007990,"DIBARTOLOMEO, JOHN",29,https://media-cdn.cortextech.io/8d21b46c-77f3-4241-834a-c819a514fc58.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2020,E2020
41,23.0,0.0,14.402173913043478,5.3,0.2,0.7,33.3%,1.6,4.4,35.3%,0.2,0.3,83.3%,0.1,0.9,1.0,1.3,0.4,0.5,0.1,0.0,1.1,1.1,4.3,BMT,"FERNANDEZ, RUDY",35,https://media-cdn.incrowdsports.com/81ff9d74-1784-441e-addd-b9198bfdab15.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2020,E2020
42,31.0,0.0,17.396774193548385,6.1,0.6,1.2,50%,1.4,3.2,44.9%,0.6,0.7,90.5%,0.3,1.9,2.2,0.4,0.3,0.7,0.1,0.1,2.1,0.5,4.4,010569,"EDDIE, JARELL",29,https://media-cdn.incrowdsports.com/777704e5-6ab7-4340-9117-1d7d46df3f2e.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2020,E2020
43,20.0,3.0,10.8375,3.0,1.0,2.0,46.3%,0.0,0.0,0%,1.0,1.6,63.6%,1.0,1.6,2.6,0.4,0.4,0.7,0.9,0.2,1.8,1.6,4.4,010390,"HAYES, KEVARRIUS",23,https://media-cdn.cortextech.io/f8b50ed9-1f5a-4e02-9046-4ec6bd379217.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2020,E2020
44,25.0,12.0,18.545333333333332,6.0,0.6,1.2,48.3%,1.6,3.3,47%,0.2,0.2,100%,0.1,0.9,1.0,0.7,0.5,0.4,0.1,0.0,1.7,0.6,4.5,KPD,"MILAKNIS, ARTURAS",34,https://media-cdn.incrowdsports.com/b2c240e5-4df1-4ddc-8314-94c8429f1e40.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2020,E2020
45,33.0,2.0,8.062626262626262,3.3,1.3,2.1,61.8%,0.0,0.0,0%,0.7,1.0,72.7%,0.8,1.3,2.1,0.6,0.4,0.5,0.2,0.2,1.3,1.1,4.5,009753,"GEBEN, MARTINAS",26,https://media-cdn.incrowdsports.com/87b025f2-7a33-4882-8bf3-f6ea2cf7687c.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2020,E2020
46,29.0,22.0,11.549425287356321,3.7,1.6,2.3,69.7%,0.0,0.0,0%,0.6,1.0,55.2%,1.2,1.3,2.6,0.8,0.4,0.8,0.3,0.1,2.2,1.0,4.5,006399,"DUVERIOGLU, AHMET",27,https://media-cdn.incrowdsports.com/409afc2e-19a2-4764-badd-a4c751aec011.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2020,E2020
47,34.0,14.0,18.709313725490198,4.4,1.1,3.0,38.2%,0.4,1.1,35.1%,0.9,1.2,77.5%,1.1,1.9,2.9,1.1,0.4,0.6,0.1,0.3,2.1,1.5,4.5,004397,"JAGODIC-KURIDZA, MARKO",33,https://media-cdn.incrowdsports.com/81a6df81-c3e2-4b02-a0d8-72118134dc89.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2020,E2020
48,32.0,9.0,21.453645833333333,6.1,0.9,2.0,47.6%,1.4,3.8,36.7%,0.1,0.3,44.4%,0.5,1.9,2.5,0.7,0.6,0.5,0.1,0.1,2.0,0.8,4.6,002429,"RIVERS, KC",33,https://media-cdn.incrowdsports.com/3605f61f-bb51-48b0-806a-a50629802f2b.png,DYR,ZEN,Zenit St Petersburg,https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png,2020,E2020
49,26.0,18.0,18.091666666666665,4.5,0.8,1.4,61.1%,0.8,2.0,39.6%,0.4,0.6,68.8%,0.2,1.3,1.5,2.3,0.9,1.1,0.1,0.1,2.7,1.2,4.6,002361,"VIVES, GUILLEM",27,https://media-cdn.incrowdsports.com/a8d169b3-dcd3-42f0-825d-ffc1ec94ac0d.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,2020,E2020
50,23.0,11.0,18.631159420289855,5.3,0.6,1.5,37.1%,1.2,2.6,45.8%,0.7,0.9,71.4%,0.3,2.1,2.3,0.5,0.3,0.4,0.0,0.1,1.6,1.0,4.7,LRU,"SIMONOVIC, MARKO",34,https://media-cdn.incrowdsports.com/ea028536-81e0-4776-968e-491a271b209d.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2020,E2020
51,28.0,28.0,19.57857142857143,4.5,1.1,2.2,51.6%,0.6,1.4,40%,0.5,0.6,72.2%,0.5,1.1,1.6,1.4,0.2,0.8,0.0,0.1,1.6,1.4,4.7,002329,"ULANOVAS, EDGARAS",28,https://media-cdn.cortextech.io/c37e8132-0498-4172-8e32-4c7044bd4370.png,ULK,FNB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2020,E2020
52,26.0,19.0,22.67948717948718,5.0,0.3,0.8,45%,1.4,3.5,40.7%,0.0,0.0,0%,0.8,2.2,3.0,1.6,0.6,0.9,0.5,0.0,2.8,0.2,4.7,BFX,"MONIA, SERGEY",37,https://media-cdn.incrowdsports.com/d3e66f80-1885-4da3-bf68-0282f1611f82.png,KHI,KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png,2020,E2020
53,34.0,2.0,17.272058823529413,6.4,1.1,2.4,45.8%,1.0,3.5,28.3%,1.1,1.7,64.4%,0.2,1.3,1.5,2.7,0.6,2.0,0.0,0.5,1.5,2.0,4.7,JUO,"SPANOULIS, VASSILIS",38,https://media-cdn.incrowdsports.com/c32b334a-d142-423f-93f6-e6f1df328d52.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2020,E2020
